time,dummyX,dummyY,dummyZ,fireHydrantX,fireHydrantY,fireHydrantZ,stopSignX,stopSignY,stopSignZ,bikeX,bikeY,bikeZ,leftSidewalkBoundZ,rightSidewalkBoundZ, endSidewalkBoundX
14.35333,-5.35, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
14.68667,-5.68, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
15.02,-6.01, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
15.35333,-6.35, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
15.68667,-6.68, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
16.02,-7.01, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
16.35333,-7.35, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
16.68667,-7.68, 0.93, 2.89,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
time,dummyX,dummyY,dummyZ,fireHydrantX,fireHydrantY,fireHydrantZ,stopSignX,stopSignY,stopSignZ,bikeX,bikeY,bikeZ,leftSidewalkBoundZ,rightSidewalkBoundZ, endSidewalkBoundX
17.02,9.00, 1.00, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
17.02,8.67, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
17.04,8.22, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
17.37333,8.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
17.70667,7.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
18.04,7.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
18.37333,7.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
18.70667,6.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
19.04,6.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
19.37333,6.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
19.70667,5.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
20.04,5.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
20.37333,5.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
20.70667,4.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
21.04,4.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
21.37333,4.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
21.70667,3.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
22.04,3.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
22.37333,3.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
22.70667,2.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
23.04,2.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
23.37333,2.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
23.70667,1.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
24.04,1.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
24.37333,1.20, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
24.70667,0.87, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
25.04,0.53, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
25.37333,0.09, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
25.70667,-0.25, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
26.04,-0.58, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
26.37333,-0.91, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
26.70667,-1.25, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
27.04,-1.58, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
27.37333,-1.91, 0.93, 2.00,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
27.70667,-2.36, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
28.04,-2.69, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
28.37333,-3.03, 0.93, 2.89,5.54, 1.00, 2.00,-3.66, 3.17, 3.00,-6.13, 1.50, 1.50,0.5,3.5,-7
time,dummyX,dummyY,dummyZ,fireHydrantX,fireHydrantY,fireHydrantZ,stopSignX,stopSignY,stopSignZ,bikeX,bikeY,bikeZ,leftSidewalkBoundZ,rightSidewalkBoundZ, endSidewalkBoundX
28.70667,9.00, 1.00, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
28.70667,8.67, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
28.72667,8.33, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
29.06,8.31, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
29.39333,7.98, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
29.72667,7.65, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
30.06,7.31, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
30.39333,6.98, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
30.72667,6.65, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
31.06,6.31, 0.93, 2.00,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
31.39333,5.87, 0.93, 2.89,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
31.72667,5.53, 0.93, 2.89,2.15, 1.00, 2.00,-5.49, 3.17, 3.00,-6.92, 1.50, 1.50,0.5,3.5,-7
